epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,64.4417,0.80639,0.62381,0.89826,0.99826,0.94872,0.98923,0.75819,0.87386,0.5166,0.97752,0.001307,0.001307,0.001307
44,65.8523,0.87448,0.61491,0.89428,0.9981,0.94872,0.9928,0.73412,0.87207,0.51412,0.97706,0.0012905,0.0012905,0.0012905
45,67.2687,0.84527,0.62631,0.88879,1,0.97212,0.9945,0.77957,0.84755,0.50959,0.98031,0.001274,0.001274,0.001274
46,68.8949,0.84458,0.66945,0.88998,0.99836,0.97436,0.9945,0.7561,0.87917,0.52124,0.95806,0.0012575,0.0012575,0.0012575
47,70.2465,0.79108,0.6095,0.88027,0.99985,0.97436,0.99402,0.79158,0.81188,0.50552,0.97408,0.001241,0.001241,0.001241
48,71.6546,0.79181,0.60104,0.86108,0.99997,0.97436,0.99402,0.76018,0.81804,0.50213,0.96617,0.0012245,0.0012245,0.0012245
49,73.0371,0.79189,0.58987,0.88457,0.97494,0.99769,0.9945,0.75802,0.84799,0.51108,0.96782,0.001208,0.001208,0.001208
50,74.401,0.8182,0.58974,0.90847,0.99886,0.97436,0.9945,0.774,0.8023,0.50842,0.95368,0.0011915,0.0011915,0.0011915
51,75.7477,0.80355,0.58414,0.87952,1,0.97374,0.9945,0.74608,0.95225,0.50971,1.0267,0.001175,0.001175,0.001175
52,77.1201,0.8855,0.61432,0.90406,1,0.97345,0.9945,0.76487,0.82351,0.49544,0.98433,0.0011585,0.0011585,0.0011585
53,78.5425,0.76294,0.56406,0.85886,0.97494,0.99769,0.9945,0.7553,0.81473,0.47925,0.99978,0.001142,0.001142,0.001142
54,79.9268,0.80448,0.57582,0.88818,0.97361,1,0.9945,0.7584,0.87689,0.48722,0.9778,0.0011255,0.0011255,0.0011255
55,81.3159,0.83075,0.57578,0.87638,1,0.99451,0.995,0.78854,0.77821,0.48995,0.95551,0.001109,0.001109,0.001109
56,82.964,0.80764,0.57952,0.88459,0.99845,1,0.995,0.74202,0.79918,0.51041,0.98291,0.0010925,0.0010925,0.0010925
57,84.325,0.80198,0.55564,0.87926,1,0.99507,0.995,0.78157,0.81531,0.47855,0.9435,0.001076,0.001076,0.001076
58,85.7983,0.75188,0.53509,0.84576,0.9749,0.99597,0.9945,0.74536,0.90733,0.50199,0.97211,0.0010595,0.0010595,0.0010595
59,87.1886,0.73649,0.57702,0.84844,0.99412,0.97436,0.99402,0.76461,0.82944,0.49869,0.95248,0.001043,0.001043,0.001043
60,88.5685,0.73787,0.57827,0.84643,0.99605,0.97436,0.99402,0.77392,0.85979,0.47176,0.97756,0.0010265,0.0010265,0.0010265
61,90.1062,0.80922,0.56097,0.87163,0.99765,0.97436,0.9945,0.78038,0.80324,0.46523,0.95361,0.00101,0.00101,0.00101
62,91.4755,0.76154,0.54419,0.8702,0.99802,0.97436,0.9945,0.77786,0.78515,0.45923,0.9398,0.0009935,0.0009935,0.0009935
63,92.8427,0.75036,0.53669,0.8472,0.99742,0.97436,0.9945,0.78672,0.81346,0.44902,0.95354,0.000977,0.000977,0.000977
64,94.2508,0.75793,0.519,0.86349,0.99772,0.97436,0.9945,0.77164,0.82176,0.46103,0.97807,0.0009605,0.0009605,0.0009605
65,95.6494,0.74131,0.53065,0.85681,0.99753,0.97436,0.9945,0.79496,0.77555,0.4379,0.95087,0.000944,0.000944,0.000944
66,97.0076,0.69559,0.49682,0.84242,0.99742,0.97436,0.9945,0.76852,0.83643,0.46052,0.9631,0.0009275,0.0009275,0.0009275
